RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,12/31/00,12/31/01,12/31/02,12/31/03,12/31/04,12/31/05,12/31/06,12/31/07,12/31/08,12/31/09,12/31/10,12/31/11,12/31/12,12/31/13,12/31/14,12/31/15,12/31/16,12/31/17,11/30/18,11/30/19,12/31/20,12/31/21,12/31/22,12/31/23,12/31/24,12/31/25,4/30/26
472,1437,Delta County,county,CO,CO,,8,29,,,,,,,,185738.6086,186173.5997,180633.9477,179179.8247,177321.1691,183316.734,182996.3125,184624.2827,195700.0109,209794.018,222813.1533,242106.9591,264432.8949,296147.6035,347813.4666,376504.2828,376353.6792,395593.3442,402600.1642,406488.9084
1403,1440,Summit County,county,CO,CO,"Breckenridge, CO",8,117,,,,302227.1167,314044.7237,358164.6407,385545.0661,415824.6003,436974.7673,424242.6378,406898.0999,396581.4941,411702.358,431583.3539,447522.7719,485553.6971,538868.0649,615802.3081,673728.8397,713572.5741,770806.1667,987023.8782,1060508.828,998870.5439,1004413.517,979462.2447,983644.1187
1230,1502,Morgan County,county,CO,CO,"Fort Morgan, CO",8,87,,,,,,,,,,,,,127229.5882,132267.3418,145150.496,158232.6489,176181.1874,196125.722,218845.1551,237534.0907,267361.1171,308124.8917,329698.8253,320447.5353,332686.6248,329022.6292,330075.1363
1606,1911,Chaffee County,county,CO,CO,,8,15,,,,,,,,,,253837.8149,247304.4347,250382.4546,257474.1122,270643.2319,281421.5545,306194.609,335049.6568,367461.2876,407030.8589,444580.0411,491726.3039,613427.2101,664733.1844,668039.9245,682821.6712,690109.2209,689940.1552
663,1948,Otero County,county,CO,CO,,8,89,,,,,,,,,,70736.66251,69853.16491,67847.63126,68761.27514,71894.45493,71932.26328,75471.80746,83659.3867,89619.33506,99814.56832,107872.0513,129529.2444,152280.8413,172215.0486,158047.2805,167607.1642,159611.8241,157466.4272
2618,2270,Archuleta County,county,CO,CO,,8,7,,,,,,,,,,227407.7183,220989.9839,211171.835,209971.271,233270.0426,243575.6894,269177.7609,290637.0221,310557.3869,335640.4513,354762.3874,397271.8128,500104.183,560473.4271,554707.9268,570520.982,573755.2247,570082.4599
348,2493,Yuma County,county,CO,CO,,8,125,,,,,,,,,,108934.7863,110472.4073,118712.7523,123456.9565,129634.1762,138510.4479,146006.2464,157640.6931,163225.0262,169928.2055,184521.3155,206600.4305,233389.7889,243327.7707,256726.0381,260358.1868,274928.5032,281473.2236
3091,2537,Clear Creek County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,19,,,,,,,,,,224895.4061,207768.6784,205129.4406,218537.6064,234946.5177,251587.1066,281640.7163,307903.4821,332419.4816,370558.8274,391139.462,444424.6301,518518.3033,576584.1396,574343.4291,579918.8147,575446.36,566065.5542
1641,2688,Conejos County,county,CO,CO,,8,21,,,,,,,,,,106432.5948,96869.76242,97321.0546,105764.2573,115748.6168,117954.7612,122038.5862,124351.2316,128024.7205,138381.3742,144705.7396,167889.554,194563.6675,212831.2628,212539.3564,208057.2241,210095.6694,214256.8696
218,2706,Lake County,county,CO,CO,,8,65,,,,,,,,,,181535.4957,172880.731,170102.2123,171572.7034,175972.0974,177512.1051,187993.0075,209082.239,236794.9424,269659.6742,295350.1416,343457.38,431100.824,486881.7748,488028.5532,498537.6086,510823.9662,514433.8276
2948,2732,Kit Carson County,county,CO,CO,,8,63,,,,,,,,,,,,,,,,112211.5164,116736.651,123356.6559,136599.8865,142318.0367,162922.3884,187962.3997,210776.2937,201986.0061,213771.8413,226069.7078,234853.0639
